,Compound,Negative,Neutral,Positive,Tweets Ago,Media Source
0,0.0,0.0,1.0,0.0,1,BBC
1,0.4939,0.0,0.686,0.314,2,BBC
2,0.25,0.088,0.765,0.147,3,BBC
3,0.0,0.0,1.0,0.0,4,BBC
4,0.0,0.0,1.0,0.0,5,BBC
5,-0.2263,0.106,0.894,0.0,6,BBC
6,0.0,0.0,1.0,0.0,7,BBC
7,0.0,0.0,1.0,0.0,8,BBC
8,-0.2023,0.189,0.811,0.0,9,BBC
9,0.875,0.0,0.607,0.393,10,BBC
10,0.2732,0.0,0.488,0.512,11,BBC
11,-0.0772,0.058,0.942,0.0,12,BBC
12,0.5859,0.0,0.787,0.213,13,BBC
13,0.3818,0.0,0.894,0.106,14,BBC
14,0.0,0.0,1.0,0.0,15,BBC
15,0.0,0.0,1.0,0.0,16,BBC
16,0.6369,0.0,0.792,0.208,17,BBC
17,0.3612,0.0,0.783,0.217,18,BBC
18,0.5719,0.0,0.748,0.252,19,BBC
19,0.0,0.0,1.0,0.0,20,BBC
20,-0.7269,0.405,0.523,0.072,21,BBC
21,0.6515,0.0,0.581,0.419,22,BBC
22,0.6908,0.0,0.769,0.231,23,BBC
23,0.0,0.0,1.0,0.0,24,BBC
24,0.0,0.0,1.0,0.0,25,BBC
25,-0.5719,0.222,0.778,0.0,26,BBC
26,0.0018,0.129,0.703,0.168,27,BBC
27,0.0,0.0,1.0,0.0,28,BBC
28,0.0,0.0,1.0,0.0,29,BBC
29,0.69,0.0,0.749,0.251,30,BBC
30,0.0,0.0,1.0,0.0,31,BBC
31,-0.6966,0.15,0.85,0.0,32,BBC
32,-0.8658,0.338,0.662,0.0,33,BBC
33,0.0,0.0,1.0,0.0,34,BBC
34,0.34,0.0,0.906,0.094,35,BBC
35,0.4588,0.0,0.769,0.231,36,BBC
36,0.0,0.0,1.0,0.0,37,BBC
37,0.0,0.0,1.0,0.0,38,BBC
38,0.3612,0.0,0.894,0.106,39,BBC
39,0.0,0.0,1.0,0.0,40,BBC
40,-0.1531,0.124,0.78,0.096,41,BBC
41,-0.7777,0.332,0.621,0.047,42,BBC
42,0.6037,0.0,0.64,0.36,43,BBC
43,0.8126,0.0,0.791,0.209,44,BBC
44,0.0,0.0,1.0,0.0,45,BBC
45,0.0,0.0,1.0,0.0,46,BBC
46,0.5499,0.282,0.332,0.385,47,BBC
47,-0.5849,0.31,0.559,0.13,48,BBC
48,0.0,0.0,1.0,0.0,49,BBC
49,-0.4215,0.171,0.741,0.088,50,BBC
50,0.0,0.0,1.0,0.0,51,BBC
51,0.2023,0.0,0.899,0.101,52,BBC
52,0.8617,0.0,0.689,0.311,53,BBC
53,0.0,0.0,1.0,0.0,54,BBC
