,Cities,Cloudiness,Country Code,Humidity,Latitude,Longitude,Temperature,Wind Speed
0,puerto ayora,44,EC,100,-0.74,-90.35,75.26,6.06
1,naples,90,US,78,26.14,-81.79,71.55,2.71
2,cape town,0,ZA,77,-33.93,18.42,64.4,5.82
3,lompoc,90,US,87,34.64,-120.46,51.8,3.36
4,new norfolk,20,AU,40,-42.78,147.06,69.8,17.22
5,barrow,0,AR,91,-38.31,-60.23,54.56,9.19
6,atuona,68,PF,100,-9.8,-139.03,81.38,16.35
7,hobart,20,AU,40,-42.88,147.33,69.8,17.22
8,kavieng,12,PG,100,-2.57,150.8,84.44,8.19
9,rikitea,20,PF,100,-23.12,-134.97,79.04,4.94
10,te anau,80,NZ,91,-45.41,167.72,51.32,17.02
11,namibe,68,AO,100,-15.19,12.15,78.14,1.48
12,tuktoyaktuk,76,CA,78,69.44,-133.03,-3.03,9.17
13,torbay,90,CA,74,47.66,-52.73,28.4,8.05
14,iraray,32,PH,95,8.99,118.05,84.35,10.42
15,chapais,90,CA,71,49.78,-74.86,6.8,4.7
16,sorland,40,NO,100,67.67,12.69,22.17,8.05
17,severo-kurilsk,92,RU,99,50.68,156.12,31.25,18.14
18,cefalu,20,IT,100,38.04,14.02,39.71,2.04
19,kralendijk,92,BQ,78,12.15,-68.27,78.8,9.17
20,westport,90,IE,100,53.8,-9.52,37.4,10.29
21,bethel,1,US,63,60.79,-161.76,28.4,13.87
22,oxapampa,76,PE,100,-10.58,-75.4,49.52,0.36
23,mataura,92,NZ,73,-46.19,168.86,59.15,27.98
24,verkhoyansk,88,RU,82,67.55,133.39,27.11,3.6
25,emba,0,CY,56,34.81,32.42,65.93,2.24
26,juegang,56,CN,67,32.31,121.18,71.57,15.12
27,alofi,92,NU,94,-19.06,-169.92,78.8,4.7
28,poum,20,MK,75,41.28,20.71,41.0,2.24
29,mount gambier,0,AU,62,-37.83,140.78,68.6,4.38
30,beringovskiy,0,RU,95,63.05,179.32,27.65,5.17
31,ilulissat,20,GL,78,69.22,-51.1,10.4,2.24
32,busselton,0,AU,83,-33.64,115.35,75.44,9.42
33,jamestown,0,AU,33,-33.21,138.6,75.44,6.96
34,itarema,48,BR,94,-2.92,-39.92,74.45,3.04
35,tasiilaq,44,GL,79,65.61,-37.64,19.4,17.22
36,bredasdorp,8,ZA,93,-34.53,20.04,59.0,13.0
37,albany,90,US,69,42.65,-73.75,30.43,6.93
38,ayan,8,TR,65,40.67,33.6,37.73,3.49
39,hilo,1,US,88,19.71,-155.08,73.4,6.93
40,cidreira,80,BR,97,-30.17,-50.22,67.97,6.73
41,saint-augustin,0,FR,87,44.83,-0.61,50.81,10.29
42,sola,90,FI,92,62.78,29.36,28.4,9.17
43,oranjestad,80,AW,100,12.52,-70.03,77.42,15.68
44,pilar,0,AR,72,-34.46,-58.91,64.31,3.36
45,kapaa,40,US,83,22.08,-159.32,71.47,8.05
46,luderitz,80,NA,82,-26.65,15.16,62.6,1.12
47,fram,0,SI,50,46.45,15.64,47.86,20.8
48,palmer,1,US,70,61.6,-149.11,33.04,27.51
49,kodiak,90,US,100,39.95,-94.76,33.8,3.36
50,guerrero negro,80,MX,100,27.97,-114.04,55.37,7.74
51,miastko,92,PL,97,54.0,16.98,32.15,12.21
52,machico,20,PT,76,32.7,-16.77,59.22,3.36
53,hermanus,76,ZA,96,-34.42,19.24,62.3,5.95
54,yellowknife,5,CA,63,62.45,-114.38,-7.61,8.05
55,esperance,20,TT,83,10.24,-61.45,77.0,5.61
56,dunmore east,92,IE,96,52.15,-6.99,47.45,10.2
57,butaritari,80,KI,100,3.07,172.79,82.82,10.2
58,castro,92,CL,100,-42.48,-73.76,54.92,3.6
59,tuatapere,56,NZ,100,-46.13,167.69,57.8,26.98
60,victoria,75,BN,70,5.28,115.24,83.98,6.93
61,san quintin,20,PH,55,17.54,120.52,87.8,9.17
62,kokopo,56,PG,100,-4.34,152.27,82.1,8.41
63,san policarpo,80,PH,92,12.18,125.51,81.74,11.65
64,khatanga,48,RU,92,71.98,102.47,-4.04,4.94
65,mehamn,75,NO,93,71.03,27.85,32.0,25.28
66,ostrovnoy,92,RU,97,68.05,39.51,28.01,18.7
67,ushuaia,75,AR,80,-54.81,-68.31,41.0,16.11
68,punta arenas,0,CL,80,-53.16,-70.91,41.0,11.41
69,port macquarie,75,AU,73,-31.43,152.91,75.2,8.05
70,the valley,20,AI,78,18.22,-63.06,77.0,4.7
71,tromso,0,NO,85,69.65,18.96,17.6,1.12
72,anadyr,40,RU,92,64.73,177.51,24.8,2.24
73,prince rupert,90,CA,100,54.32,-130.32,35.6,9.17
74,grindavik,75,IS,92,63.84,-22.43,27.28,14.99
75,bluff,88,AU,46,-23.58,149.07,84.44,16.02
76,chuy,56,UY,99,-33.69,-53.46,66.44,5.17
77,geraldton,5,CA,69,49.72,-86.95,-13.01,2.24
78,faanui,76,PF,100,-16.48,-151.75,82.19,11.43
79,bambous virieux,75,MU,88,-20.34,57.76,80.6,8.05
80,norman wells,20,CA,70,65.28,-126.83,-0.41,5.82
81,isangel,8,VU,100,-19.55,169.27,80.3,14.34
82,broken hill,0,AU,34,-31.97,141.45,77.69,14.56
83,santa maria da vitoria,0,BR,88,-13.39,-44.19,66.89,3.04
84,nyrad,92,DK,100,55.01,11.96,32.0,16.11
85,brae,20,GB,69,60.4,-1.35,36.63,13.87
86,samarai,48,PG,100,-10.62,150.67,83.09,6.4
87,maceio,20,BR,94,-9.67,-35.74,73.4,3.36
88,cherskiy,20,RU,73,68.75,161.3,32.24,5.73
89,hasaki,40,JP,64,35.73,140.83,72.73,9.17
90,longonjo,75,AO,100,-12.91,15.25,62.6,3.49
91,egvekinot,0,RU,94,66.32,-179.17,29.09,2.48
92,bathsheba,20,BB,78,13.22,-59.52,77.0,18.34
93,tautira,20,PF,83,-17.73,-149.15,78.8,3.36
94,kisanga,92,CD,95,-11.72,27.4,65.09,7.18
95,colinas,76,BR,97,-6.03,-44.25,70.85,2.48
96,itaituba,56,BR,99,-4.26,-55.99,73.55,1.59
97,georgetown,75,GY,100,6.8,-58.16,73.4,5.5
98,novyy urengoy,48,RU,92,66.08,76.63,1.37,17.81
99,tashara,32,RU,91,55.52,83.51,28.01,10.2
100,longyearbyen,75,NO,55,78.22,15.63,10.4,18.34
101,qaanaaq,0,GL,84,77.48,-69.36,-5.84,9.75
102,mocajuba,88,BR,99,-2.58,-49.5,73.01,2.37
103,vaini,0,IN,39,15.34,74.49,91.64,3.27
